Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),Category
03/05/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",710.0,445.0,1134.0,766.0,547.0,1073.0,741.0,495.0,1110.0,821.0,502.0,1341.0,513.0,336.0,783.0,960.0,454.0,561.0,16
02/23/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",788.0,571.0,1086.0,699.0,546.0,894.0,1261.0,712.0,988.0,773.0,602.0,992.0,818.0,623.0,1073.0,637.0,445.0,911.0,9
02/08/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",703.0,379.0,1301.0,414.0,306.0,561.0,907.0,590.0,1394.0,1298.0,733.0,2299.0,400.0,267.0,599.0,445.0,272.0,729.0,11
01/17/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",761.0,521.0,1112.0,618.0,831.0,947.0,995.0,684.0,1449.0,757.0,551.0,1038.0,747.0,563.0,990.0,423.0,389.0,460.0,9
01/17/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1274.0,953.0,1703.0,405.0,544.0,842.0,1618.0,1244.0,2103.0,1220.0,1045.0,1423.0,1016.0,810.0,1275.0,453.0,533.0,603.0,10
03/22/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",553.0,337.0,908.0,578.0,346.0,966.0,719.0,479.0,1077.0,654.0,436.0,979.0,443.0,291.0,674.0,397.0,250.0,632.0,11
03/08/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",804.0,576.0,1123.0,788.0,630.0,984.0,973.0,767.0,1235.0,867.0,612.0,1228.0,702.0,541.0,912.0,535.0,418.0,685.0,9
03/04/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1243.0,1017.0,1518.0,1010.0,353.0,1886.0,660.0,844.0,1288.0,1276.0,1019.0,1597.0,1126.0,1000.0,1268.0,410.0,333.0,968.0,10
02/02/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1733.0,1288.0,2332.0,969.0,322.0,2323.0,1107.0,617.0,1140.0,1955.0,1557.0,2454.0,1425.0,496.0,732.0,397.0,253.0,806.0,4
01/24/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",469.0,302.0,728.0,457.0,309.0,677.0,549.0,386.0,782.0,604.0,375.0,973.0,351.0,242.0,507.0,352.0,248.0,501.0,11
02/09/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",972.0,703.0,1344.0,670.0,562.0,799.0,1159.0,875.0,1535.0,1066.0,776.0,1465.0,827.0,667.0,1024.0,753.0,549.0,1031.0,1
03/27/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",834.0,587.0,1184.0,633.0,852.0,1410.0,967.0,690.0,1354.0,823.0,569.0,1189.0,672.0,533.0,846.0,734.0,399.0,534.0,9
01/29/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",449.0,306.0,659.0,441.0,302.0,643.0,525.0,364.0,759.0,535.0,373.0,767.0,426.0,294.0,617.0,343.0,250.0,471.0,11
02/27/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",788.0,531.0,1170.0,902.0,521.0,1560.0,1011.0,705.0,1449.0,889.0,623.0,1268.0,676.0,532.0,859.0,479.0,358.0,642.0,9
03/26/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1386.0,1149.0,1672.0,1365.0,1124.0,1656.0,1571.0,1401.0,1762.0,1399.0,1219.0,1605.0,718.0,582.0,768.0,341.0,630.0,797.0,4
